Stock#,Lane,Item#,Year,Make,Model,Odometer,VIN,Sale Document,Loss Type,Vehicle Location Info,Auction Date,Public,Primary Damage,Secondary Damage,Run & Drive,Starts,Odometer Status,Fuel Type,Cylinders,Transmission,Provider,Buy Now Price
25006001,B,58,2015,ACURA,MDX,"58,351",5FRYD4H46FB024656,SALVAGE-MI,COLLISION,,7/25/2019 7:30:00 AM,NO,LEFT SIDE,REAR,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,
25623586,B,5898,2011,ACURA,RDX,"90,025",5J8TB1H51BA006997,CLEAR-MI,OTHER,,7/25/2019 7:30:00 AM,YES,LEFT FRONT,MECHANICAL,NO,NO,ACTUAL,Gasoline,4 Cyl,Automatic,,
25377811,B,72,2010,ACURA,TSX,"108,122",JH4CU2F65AC008800,SALVAGE-MI,COLLISION,,7/25/2019 7:30:00 AM,NO,LEFT SIDE,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,USAA - ACH,
25623054,B,5899,2005,ASTON MARTIN,DB9,"59,231",SCFAD02A65GB03215,CLEAR-MI,OTHER,,7/25/2019 7:30:00 AM,YES,MECHANICAL,NONE,NO,NO,ACTUAL,Gasoline,12 Cyl,Automatic,,
25530378,B,9982,2008,AUDI,A4,"203,920",WAUDF78EX8A129388,CLEAR-MI,OTHER,,7/25/2019 7:30:00 AM,YES,FRONT END,LEFT FRONT,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,,
25071344,A,3087,2011,AUDI,A6,"109,690",WAUKGAFB7BN062081,SALVAGE-MI,WATER,,7/25/2019 7:30:00 AM,NO,FLOOD,,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,USAA - ACH,
22591540,A,3011,2011,BMW,328,"71,571",WBAPK7G55BNN77919,SALVAGE-MI,COLLISION,,7/25/2019 7:30:00 AM,NO,LEFT SIDE,,NO,NO,ACTUAL,Gasoline,6 Cyl,Automatic,,
25169884,A,93,2014,BMW,428,"58,829",WBA3N5C58EF715614,SCRAP-MI,WATER,,7/25/2019 7:30:00 AM,NO,FLOOD,,YES,YES,ACTUAL,Gasoline,4 Cyl,Automatic,USAA - ACH,
25353964,B,70,2015,BMW,M4,"56,896",WBS3R9C59FK329722,SALVAGE-MI,COLLISION,,7/25/2019 7:30:00 AM,NO,ALL OVER,SUSPENSION,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,
19818640,A,5117,2009,BMW,X3,"107,755",WBXPC934X9WJ25996,TR-52-MI,COLLISION,,7/25/2019 7:30:00 AM,YES,FRONT END,MECHANICAL,NO,NO,ACTUAL,Gasoline,6 Cyl,Unknown,,
25661156,A,4506,2001,BOSTON WHALER,MONTAUK,,BWCP51645C101,BILL OF SALE-MI,OTHER,,7/25/2019 7:30:00 AM,YES,UNKNOWN,,NO,NO,,Other,,Unknown,,
25200145,A,6107,2009,BUICK,ALLURE,"170,490",2G4WJ582491134680,CLEAR-MI,COLLISION,,7/25/2019 7:30:00 AM,YES,RIGHT SIDE,FRONT END,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,
25172924,A,47,2009,BUICK,ENCLAVE,"111,880",5GAER13D29J217381,SALVAGE-MI,COLLISION,,7/25/2019 7:30:00 AM,NO,RIGHT REAR,FRONT END,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,USAA - ACH,
25381106,B,5024,2009,BUICK,ENCLAVE,"133,517",5GAEV23D99J210414,CLEAR-MI,COLLISION,,7/25/2019 7:30:00 AM,YES,FRONT END,,NO,YES,ACTUAL,Gasoline,6 Cyl,Automatic,Progressive Casualty Insurance,
25314881,A,65,2008,BUICK,ENCLAVE,"218,088",5GAEV13708J128445,SALVAGE-MI,COLLISION,,7/25/2019 7:30:00 AM,NO,LEFT FRONT,FRONT END,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,USAA - ACH,
23088483,B,8,2008,BUICK,ENCLAVE,"126,432",5GAER23708J267324,SALVAGE-MI,COLLISION,,7/25/2019 7:30:00 AM,NO,REAR,,YES,YES,ACTUAL,Gasoline,6 Cyl,Automatic,,
24393365,B,32,2018,BUICK,ENCORE,"5,648",KL4CJ1SB8JB553638,SALVAGE-MI,COLLISION,,7/25/2019 7:30:00 AM,NO,FRONT & REAR,,YES,YES,ACTUAL,Other,,Automatic,AAA Auto Club Group Companies,
